session_tier,split,signature,supplement_events,supplement_dates
3,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,6,6
3,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,25,25
3,DEV,MEMORY,1684,704
3,DEV,MEMORY+FVG,1142,660
3,DEV,OBJECTIVE_LIQUIDITY,290,264
3,DEV,OBJECTIVE_LIQUIDITY+FVG,931,730
3,DEV,OBJECTIVE_LIQUIDITY+MEMORY,216,186
3,DEV,OBJECTIVE_LIQUIDITY+MEMORY+FVG,185,167
3,VALIDATION,DISPLACEMENT_ORIGIN,469,359
3,VALIDATION,DISPLACEMENT_ORIGIN+FVG,600,431
3,VALIDATION,DISPLACEMENT_ORIGIN+MEMORY,29,24
3,VALIDATION,DISPLACEMENT_ORIGIN+MEMORY+FVG,31,28
3,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,183,150
3,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,157,143
3,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,1,1
3,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,5,5
3,VALIDATION,MEMORY,853,308
3,VALIDATION,MEMORY+FVG,610,313
3,VALIDATION,OBJECTIVE_LIQUIDITY,130,119
3,VALIDATION,OBJECTIVE_LIQUIDITY+FVG,462,366
3,VALIDATION,OBJECTIVE_LIQUIDITY+MEMORY,124,90
3,VALIDATION,OBJECTIVE_LIQUIDITY+MEMORY+FVG,73,62
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN,500,321
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+FVG,600,379
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+MEMORY,57,49
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+MEMORY+FVG,39,36
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,118,103
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,92,81
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,4,4
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,7,7
4,COMEX_FEATURE_HOLDOUT,MEMORY,647,276
4,COMEX_FEATURE_HOLDOUT,MEMORY+FVG,577,272
4,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY,65,62
4,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+FVG,479,332
4,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+MEMORY,166,134
4,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+MEMORY+FVG,96,78
4,DEV,DISPLACEMENT_ORIGIN,685,560
4,DEV,DISPLACEMENT_ORIGIN+FVG,1055,790
4,DEV,DISPLACEMENT_ORIGIN+MEMORY,64,60
4,DEV,DISPLACEMENT_ORIGIN+MEMORY+FVG,72,64
4,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,433,355
4,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,433,365
4,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,6,6
4,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,21,21
4,DEV,MEMORY,1565,663
4,DEV,MEMORY+FVG,1018,597
4,DEV,OBJECTIVE_LIQUIDITY+FVG,692,573
4,DEV,OBJECTIVE_LIQUIDITY+MEMORY,207,177
4,DEV,OBJECTIVE_LIQUIDITY+MEMORY+FVG,180,162
4,VALIDATION,DISPLACEMENT_ORIGIN,330,275
4,VALIDATION,DISPLACEMENT_ORIGIN+FVG,551,401
4,VALIDATION,DISPLACEMENT_ORIGIN+MEMORY,29,24
4,VALIDATION,DISPLACEMENT_ORIGIN+MEMORY+FVG,31,28
4,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,178,145
4,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,149,136
4,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,1,1
4,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,5,5
4,VALIDATION,MEMORY,822,294
4,VALIDATION,MEMORY+FVG,589,303
4,VALIDATION,OBJECTIVE_LIQUIDITY+FVG,385,316
4,VALIDATION,OBJECTIVE_LIQUIDITY+MEMORY,123,89
4,VALIDATION,OBJECTIVE_LIQUIDITY+MEMORY+FVG,72,61
